genotype,replicate,stage,number
Moneymaker,3,fourth_instar,8
Moneymaker,4,fourth_instar,11
Moneymaker,5,fourth_instar,4
Moneymaker,6,fourth_instar,4
LA1840,1,fourth_instar,3
LA1840,2,fourth_instar,2
LA1840,3,fourth_instar,0
LA1840,5,fourth_instar,2
LO6176,1,fourth_instar,9
LO6176,2,fourth_instar,8
LO6176,5,fourth_instar,7
LO6176,6,fourth_instar,22
LO6193,2,fourth_instar,6
LO6193,3,fourth_instar,22
LO6193,6,fourth_instar,4
LYC00115,2,fourth_instar,2
LYC00115,5,fourth_instar,24
LYC00115,6,fourth_instar,5
LYC00122,3,fourth_instar,12
LYC00122,4,fourth_instar,8
LYC00122,6,fourth_instar,15
LYC00175,3,fourth_instar,15
LYC00175,4,fourth_instar,4
Moneymaker,3,egg,23
Moneymaker,4,egg,24
Moneymaker,5,egg,55
Moneymaker,6,egg,10
LA1840,1,egg,59
LA1840,2,egg,57
LA1840,3,egg,34
LA1840,5,egg,35
LO6176,1,egg,7
LO6176,2,egg,10
LO6176,5,egg,18
LO6176,6,egg,22
LO6193,2,egg,14
LO6193,3,egg,37
LO6193,6,egg,25
LYC00115,2,egg,4
LYC00115,5,egg,33
LYC00115,6,egg,17
LYC00122,3,egg,16
LYC00122,4,egg,16
LYC00122,6,egg,10
LYC00175,3,egg,8
LYC00175,4,egg,14
