,[M],mz_[M+H]+,mzmin,mzmax,rt,rtmin,rtmax,npeaks,cdfs,IL27_1,IL27_2,IL27_4,IL27_5,IL27_6,IL28_1,IL28_2,IL28_3,IL28_4,IL28_5,IL28_6,MB_1,MB_2,MB_3,MB_4,MB_5,MB_6,LA1840_1,LA1840_2,LA1840_3,LA1840_4,LA1840_5,LA1840_6
metabolite_1,196.109327,197.1166034,197.1152775,197.1174188,661.3119656,659.9897748,664.3897287,12,1,4.22E-05,2.66E-05,5.69E-05,5.61E-05,8.59E-05,6.30E-05,8.89E-05,9.14E-05,0.000100452,0.000122472,7.42E-05,8.07E-05,5.92E-05,0.000104036,0.000177436,0.000137255,0.000146101,1.22E-07,3.71E-05,2.97E-05,2.44E-05,4.81E-05,6.06E-05
metabolite_2,199.193189,200.2004654,200.1995159,200.2014759,1650.884392,1635.105228,1651.826186,22,2,0.000385225,0.00084875,0.001129627,0.001131674,0.001765276,0.000772859,0.000834496,0.001216531,0.001156827,0.001659166,0.000988368,0.000719889,0.000869672,0.00097878,0.00108686,0.001317008,0.001675427,5.33E-06,0.000489845,0.000860669,0.001120613,0.001044749,0.001237699
metabolite_3,199.193282,200.200558,200.1996154,200.2016015,1789.61726,1788.793882,1790.392946,19,3,0.000778186,0.000821516,0.000766712,0.00072914,5.78E-05,0.000904997,0.000988677,0.001049639,0.00082331,0.001044839,0.000757675,0.000885332,0.000896122,0.000826541,0.000869205,0.000787009,0.000742098,1.25E-05,0.000865084,0.000784906,0.000832054,0.000606639,0.000698364
metabolite_4,201.209125,202.2164011,202.2156371,202.2169884,1186.261852,1168.325896,1216.042141,13,4,0.001418258,0.00067268,0.000102253,0.000814056,8.05E-05,0.0013422,0.001162218,0.001473445,0.001129562,0.001297818,0.000933309,2.75E-05,0.001381718,0.001240999,4.07E-05,0.000739958,0.000647838,4.19E-05,0.001194809,0.0014964,0.00048795,3.06E-05,4.92E-05
metabolite_5,204.077684,205.0849596,205.0835881,205.0862829,1940.060062,1938.81296,1940.362659,27,5,0.002845737,0.002575039,0.002447118,0.002351,0.004272596,0.002997634,0.003314941,0.003216299,0.00263441,0.003544237,0.002813044,0.00298438,0.0029563,0.002988694,0.002994881,0.00269851,0.002944445,1.15E-06,0.002701102,0.001094553,0.002414941,0.001990902,0.002752554
metabolite_6,205.081026,206.0883018,206.0871725,206.0897112,1939.904736,1938.81296,1941.132059,18,6,6.26E-05,5.79E-05,6.74E-05,5.79E-05,0.000139581,6.73E-05,6.16E-05,8.32E-05,6.36E-05,9.13E-05,4.69E-05,5.73E-05,6.07E-05,7.07E-05,6.32E-05,6.89E-05,7.27E-05,2.55E-07,6.01E-05,4.27E-05,4.73E-05,5.42E-05,6.24E-05
metabolite_7,206.058114,207.0653895,207.0639665,207.1385191,495.6479752,483.5665424,585.7528238,25,7,2.10E-05,1.99E-05,2.74E-05,2.49E-05,6.66E-06,2.06E-05,5.65E-05,5.48E-05,1.74E-05,7.00E-05,2.12E-05,2.74E-05,6.37E-05,1.94E-05,8.81E-05,5.49E-05,5.27E-05,4.97E-05,0.000455592,0.000347147,0.000214706,0.0003869,0.000201223
metabolite_8,211.110377,212.1176526,212.1162006,212.1186694,731.9869985,694.4613487,739.4695195,17,8,4.31E-05,0.000124657,0.000132415,0.000180331,0.000218489,0.000153355,0.000198665,0.000194299,0.000182284,0.000210354,0.000194125,0.000127035,0.000150826,0.000152669,0.000199745,0.000130923,0.000172838,3.25E-06,7.50E-05,0.000143867,0.000124966,0.000159878,0.000177034
metabolite_9,212.140533,213.1478088,213.1464428,213.1493849,1593.431397,1558.063195,1595.05638,17,9,0.000149143,0.000149932,0.00011953,0.000102661,0.000201919,0.000174601,0.000118775,0.000157664,0.000135934,0.000141218,0.000282351,0.00012402,0.000185273,0.000128167,0.000190714,0.000101406,0.000146172,3.75E-07,5.47E-05,4.70E-05,5.44E-05,6.25E-05,8.81E-05
metabolite_10,215.22447,216.2317463,216.2305262,216.2328218,2093.890169,2093.284822,2094.114459,16,10,0.000118103,0.000111072,0.000177038,0.000155035,0.000152349,0.000128171,0.000140497,0.000168959,0.000169993,0.000265678,0.000132654,0.000148662,0.000129005,0.00016168,0.000171828,0.000174934,0.000206652,3.82E-07,0.000134852,0.00013437,0.000123338,0.000118317,0.000190114
