peakID,RT [min],m/z meas.,?m/z [ppm],M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blanc_1a,blanc_2a,blanc_1b,blanc_2b,MM_1a,MM_2a,MM_1b,MM_2b,1840_1a,1840_2a,1840_1b,1840_2b
1,0.04,241.88396,,240.87668,[M+H]+,FALSE,,,,,,792,[],TRUE,280,694,502,604,554,678,674,936,724,788,860,636
2,0.05,143.95911,,142.95183,[M+H]+,FALSE,,,,,,1692,[],TRUE,1036,1566,1326,1490,1364,1340,1692,1948,1720,1420,2000,1368
3,0.06,124.96631,,123.95903,[M+H]+,FALSE,,,,,,818,[],TRUE,1308,992,1060,1010,742,990,0,888,812,694,794,702
4,0.08,553.45905,0.399,552.45177,[M+H]+,FALSE,,C33H56N6O,"SmartFormula - mzdev: 0.0002 mSigma: 10.89, ",20100,,11382,[],TRUE,11340,12260,10962,11864,10972,11190,12172,11820,12334,11060,12548,11310
5,0.08,413.26631,0.265,412.25903,[M+H]+,FALSE,,C19H41O7P,"SmartFormula - mzdev: 0.0001 mSigma: 49.67, ",20100,,1090,[],TRUE,984,1162,1292,1104,1090,1106,1290,1170,1212,798,1032,944
6,0.08,343.22434,-0.27,342.21706,[M+H]+,FALSE,,C15H35O6P,"SmartFormula - mzdev: -0.0001 mSigma: 13.12, ",20100,,2972,[],TRUE,3078,2660,2786,3096,3084,3190,3072,2940,2722,2864,3510,2936
7,0.08,287.16171,-0.317,286.15444,[M+H]+,FALSE,,C11H27O6P,"SmartFormula - mzdev: -0.0001 mSigma: 13.55, ",20100,,1512,[],TRUE,1506,1510,1546,1420,1582,1786,1512,1288,1522,1650,1634,1508
8,0.08,629.84892,,1257.68329,[M+H+H]2+,FALSE,,,,,,1424,[],TRUE,1306,2088,0,1750,1514,1546,0,0,1640,1926,1310,1334
9,0.08,498.39989,,497.39261,[M+H]+,FALSE,,,,,,1076,[],TRUE,1042,1274,1138,1016,964,1166,1076,1052,1102,1032,1222,1290
10,0.08,497.39637,-0.378,496.3891,[M+H]+,FALSE,,C26H57O6P,"SmartFormula - mzdev: -0.0002 mSigma: 15.44, ",20100,,2744,[],TRUE,2670,2414,2646,2656,2462,2836,2744,2854,2808,2830,2860,2586
