Plant_ID,treatment,date,day,stage,left,right,start_eggs
C1,control,17/10/2016,1,eggs,32,66,98
C10,control,17/10/2016,1,eggs,47,51,98
C11,control,17/10/2016,1,eggs,50,30,80
C12,control,17/10/2016,1,eggs,93,27,120
C2,control,17/10/2016,1,eggs,47,54,101
C3,control,17/10/2016,1,eggs,66,85,151
C4,control,17/10/2016,1,eggs,46,42,88
C6,control,17/10/2016,1,eggs,39,61,100
C7,control,17/10/2016,1,eggs,45,44,89
C8,control,17/10/2016,1,eggs,36,14,50
C9,control,17/10/2016,1,eggs,101,34,135
R10,riboflavin,17/10/2016,1,eggs,90,31,121
R12,riboflavin,17/10/2016,1,eggs,23,49,72
R2,riboflavin,17/10/2016,1,eggs,67,76,143
R4,riboflavin,17/10/2016,1,eggs,43,83,126
R5,riboflavin,17/10/2016,1,eggs,58,64,122
R6,riboflavin,17/10/2016,1,eggs,76,61,137
R9,riboflavin,17/10/2016,1,eggs,72,36,108
C1,control,19/10/2016,3,eggs,25,54,98
C10,control,19/10/2016,3,eggs,43,58,98
C11,control,19/10/2016,3,eggs,45,35,80
C12,control,19/10/2016,3,eggs,86,53,120
C2,control,19/10/2016,3,eggs,55,48,101
C3,control,19/10/2016,3,eggs,58,66,151
C4,control,19/10/2016,3,eggs,37,42,88
C6,control,19/10/2016,3,eggs,65,56,100
C7,control,19/10/2016,3,eggs,42,56,89
C8,control,19/10/2016,3,eggs,27,12,50
C9,control,19/10/2016,3,eggs,89,30,135
R10,riboflavin,19/10/2016,3,eggs,99,29,121
R12,riboflavin,19/10/2016,3,eggs,23,55,72
R2,riboflavin,19/10/2016,3,eggs,59,71,143
R4,riboflavin,19/10/2016,3,eggs,56,85,126
R5,riboflavin,19/10/2016,3,eggs,56,41,122
R6,riboflavin,19/10/2016,3,eggs,48,55,137
R9,riboflavin,19/10/2016,3,eggs,79,39,108
C1,control,21/10/2016,5,eggs_crawler,37,61,98
C10,control,21/10/2016,5,eggs_crawler,40,58,98
C11,control,21/10/2016,5,eggs_crawler,39,32,80
C12,control,21/10/2016,5,eggs_crawler,87,36,120
C2,control,21/10/2016,5,eggs_crawler,46,32,101
C3,control,21/10/2016,5,eggs_crawler,48,54,151
C4,control,21/10/2016,5,eggs_crawler,27,55,88
C6,control,21/10/2016,5,eggs_crawler,50,34,100
C7,control,21/10/2016,5,eggs_crawler,46,39,89
C8,control,21/10/2016,5,eggs_crawler,22,17,50
C9,control,21/10/2016,5,eggs_crawler,74,31,135
R10,riboflavin,21/10/2016,5,eggs_crawler,95,37,121
R12,riboflavin,21/10/2016,5,eggs_crawler,32,47,72
R2,riboflavin,21/10/2016,5,eggs_crawler,72,84,143
R4,riboflavin,21/10/2016,5,eggs_crawler,54,100,126
R5,riboflavin,21/10/2016,5,eggs_crawler,61,54,122
R6,riboflavin,21/10/2016,5,eggs_crawler,52,72,137
R9,riboflavin,21/10/2016,5,eggs_crawler,51,42,108
C1,control, 24/10/2016,8,instars,22,34,98
C10,control, 24/10/2016,8,instars,27,53,98
C11,control, 24/10/2016,8,instars,40,26,80
C12,control, 24/10/2016,8,instars,83,43,120
C2,control, 24/10/2016,8,instars,38,24,101
C3,control, 24/10/2016,8,instars,32,48,151
C4,control, 24/10/2016,8,instars,17,40,88
C6,control, 24/10/2016,8,instars,41,42,100
C7,control, 24/10/2016,8,instars,29,46,89
C8,control, 24/10/2016,8,instars,27,18,50
C9,control, 24/10/2016,8,instars,80,29,135
R10,riboflavin, 24/10/2016,8,instars,51,37,121
R12,riboflavin, 24/10/2016,8,instars,39,48,72
R2,riboflavin, 24/10/2016,8,instars,73,56,143
R4,riboflavin, 24/10/2016,8,instars,48,81,126
R5,riboflavin, 24/10/2016,8,instars,55,56,122
R6,riboflavin, 24/10/2016,8,instars,59,53,137
R9,riboflavin, 24/10/2016,8,instars,59,48,108
C1,control, 26/10/2016,10,instars,27,31,98
C10,control, 26/10/2016,10,instars,31,49,98
C11,control, 26/10/2016,10,instars,43,25,80
C12,control, 26/10/2016,10,instars,81,30,120
C2,control, 26/10/2016,10,instars,39,29,101
C3,control, 26/10/2016,10,instars,33,53,151
C4,control, 26/10/2016,10,instars,14,36,88
C6,control, 26/10/2016,10,instars,34,40,100
C7,control, 26/10/2016,10,instars,22,62,89
C8,control, 26/10/2016,10,instars,21,16,50
C9,control, 26/10/2016,10,instars,71,24,135
R10,riboflavin, 26/10/2016,10,instars,49,34,121
R12,riboflavin, 26/10/2016,10,instars,41,45,72
R2,riboflavin, 26/10/2016,10,instars,64,55,143
R4,riboflavin, 26/10/2016,10,instars,44,84,126
R5,riboflavin, 26/10/2016,10,instars,63,57,122
R6,riboflavin, 26/10/2016,10,instars,46,47,137
R9,riboflavin, 26/10/2016,10,instars,62,43,108
C1,control, 28/10/2016,12,instars,18,36,98
C10,control, 28/10/2016,12,instars,27,52,98
C11,control, 28/10/2016,12,instars,39,29,80
C12,control, 28/10/2016,12,instars,76,38,120
C2,control, 28/10/2016,12,instars,40,30,101
C3,control, 28/10/2016,12,instars,35,43,151
C4,control, 28/10/2016,12,instars,18,36,88
C6,control, 28/10/2016,12,instars,32,35,100
C7,control, 28/10/2016,12,instars,22,53,89
C8,control, 28/10/2016,12,instars,24,14,50
C9,control, 28/10/2016,12,instars,71,27,135
R10,riboflavin, 28/10/2016,12,instars,53,37,121
R12,riboflavin, 28/10/2016,12,instars,41,52,72
R2,riboflavin, 28/10/2016,12,instars,71,54,143
R4,riboflavin, 28/10/2016,12,instars,50,79,126
R5,riboflavin, 28/10/2016,12,instars,56,54,122
R6,riboflavin, 28/10/2016,12,instars,60,44,137
R9,riboflavin, 28/10/2016,12,instars,65,53,108
C1,control,31/10/2016,15,instars,24,31,98
C10,control,31/10/2016,15,instars,24,50,98
C11,control,31/10/2016,15,instars,40,23,80
C12,control,31/10/2016,15,instars,75,31,120
C2,control,31/10/2016,15,instars,37,25,101
C3,control,31/10/2016,15,instars,28,45,151
C4,control,31/10/2016,15,instars,18,33,88
C6,control,31/10/2016,15,instars,30,33,100
C7,control,31/10/2016,15,instars,19,49,89
C8,control,31/10/2016,15,instars,20,14,50
C9,control,31/10/2016,15,instars,56,27,135
R10,riboflavin,31/10/2016,15,instars,47,41,121
R12,riboflavin,31/10/2016,15,instars,39,43,72
R2,riboflavin,31/10/2016,15,instars,60,54,143
R4,riboflavin,31/10/2016,15,instars,51,76,126
R5,riboflavin,31/10/2016,15,instars,56,54,122
R6,riboflavin,31/10/2016,15,instars,53,44,137
R9,riboflavin,31/10/2016,15,instars,61,52,108
C1,control,02/11/2016,17,instars,24,35,98
C10,control,02/11/2016,17,instars,25,52,98
C11,control,02/11/2016,17,instars,35,25,80
C12,control,02/11/2016,17,instars,72,30,120
C2,control,02/11/2016,17,instars,39,26,101
C3,control,02/11/2016,17,instars,27,43,151
C4,control,02/11/2016,17,instars,18,27,88
C6,control,02/11/2016,17,instars,26,28,100
C7,control,02/11/2016,17,instars,21,45,89
C8,control,02/11/2016,17,instars,19,14,50
C9,control,02/11/2016,17,instars,59,26,135
R10,riboflavin,02/11/2016,17,instars,44,40,121
R12,riboflavin,02/11/2016,17,instars,42,41,72
R2,riboflavin,02/11/2016,17,instars,61,47,143
R4,riboflavin,02/11/2016,17,instars,36,73,126
R5,riboflavin,02/11/2016,17,instars,60,50,122
R6,riboflavin,02/11/2016,17,instars,36,33,137
R9,riboflavin,02/11/2016,17,instars,57,42,108
C1,control,04/11/2016,19,instars,25,32,98
C10,control,04/11/2016,19,instars,23,47,98
C11,control,04/11/2016,19,instars,39,25,80
C12,control,04/11/2016,19,instars,69,28,120
C2,control,04/11/2016,19,instars,38,25,101
C3,control,04/11/2016,19,instars,25,47,151
C4,control,04/11/2016,19,instars,17,30,88
C6,control,04/11/2016,19,instars,32,27,100
C7,control,04/11/2016,19,instars,21,44,89
C8,control,04/11/2016,19,instars,17,13,50
C9,control,04/11/2016,19,instars,64,29,135
R10,riboflavin,04/11/2016,19,instars,44,41,121
R12,riboflavin,04/11/2016,19,instars,49,49,72
R2,riboflavin,04/11/2016,19,instars,62,46,143
R4,riboflavin,04/11/2016,19,instars,40,62,126
R5,riboflavin,04/11/2016,19,instars,56,41,122
R6,riboflavin,04/11/2016,19,instars,37,26,137
R9,riboflavin,04/11/2016,19,instars,55,45,108
C1,control,02/11/2016,17,fourth_instar,1,4,98
C10,control,02/11/2016,17,fourth_instar,13,33,98
C11,control,02/11/2016,17,fourth_instar,12,15,80
C12,control,02/11/2016,17,fourth_instar,17,5,120
C2,control,02/11/2016,17,fourth_instar,4,0,101
C3,control,02/11/2016,17,fourth_instar,5,15,151
C4,control,02/11/2016,17,fourth_instar,10,11,88
C6,control,02/11/2016,17,fourth_instar,11,8,100
C7,control,02/11/2016,17,fourth_instar,4,12,89
C8,control,02/11/2016,17,fourth_instar,4,4,50
C9,control,02/11/2016,17,fourth_instar,32,15,135
R10,riboflavin,02/11/2016,17,fourth_instar,3,11,121
R12,riboflavin,02/11/2016,17,fourth_instar,14,19,72
R2,riboflavin,02/11/2016,17,fourth_instar,1,1,143
R4,riboflavin,02/11/2016,17,fourth_instar,0,2,126
R5,riboflavin,02/11/2016,17,fourth_instar,4,14,122
R6,riboflavin,02/11/2016,17,fourth_instar,10,4,137
R9,riboflavin,02/11/2016,17,fourth_instar,6,7,108
C1,control,04/11/2016,19,fourth_instar,21,26,98
C10,control,04/11/2016,19,fourth_instar,22,46,98
C11,control,04/11/2016,19,fourth_instar,31,22,80
C12,control,04/11/2016,19,fourth_instar,61,22,120
C2,control,04/11/2016,19,fourth_instar,26,19,101
C3,control,04/11/2016,19,fourth_instar,10,39,151
C4,control,04/11/2016,19,fourth_instar,15,26,88
C6,control,04/11/2016,19,fourth_instar,27,22,100
C7,control,04/11/2016,19,fourth_instar,11,37,89
C8,control,04/11/2016,19,fourth_instar,11,10,50
C9,control,04/11/2016,19,fourth_instar,50,26,135
R10,riboflavin,04/11/2016,19,fourth_instar,16,31,121
R12,riboflavin,04/11/2016,19,fourth_instar,31,36,72
R2,riboflavin,04/11/2016,19,fourth_instar,38,23,143
R4,riboflavin,04/11/2016,19,fourth_instar,18,26,126
R5,riboflavin,04/11/2016,19,fourth_instar,28,32,122
R6,riboflavin,04/11/2016,19,fourth_instar,12,4,137
R9,riboflavin,04/11/2016,19,fourth_instar,37,29,108
