line_nr,genotype,eggs_bottom,nymphs,eggs_to_nymphs
1955_1,cv,32,17,53.125
1955_2,cv,30,12,40
1955_3,cv,46,35,76.08695652
55_2,cv,19,2,10.52631579
55_3,cv,72,35,48.61111111
55_4,cv,45,2,4.444444444
1927_1,IL27,7,0,0
1927_3,IL27,36,0,0
27_2,IL27,10,0,0
27_3,IL27,18,3,16.66666667
27_4,IL27,40,4,10
1932_1,IL32,35,15,42.85714286
1932_3,IL32,47,6,12.76595745
3932_2,IL32,76,33,43.42105263
32_1,IL32,10,2,20
32_2,IL32,28,15,53.57142857
1939_2,IL39,122,84,68.85245902
1939_4,IL39,29,14,48.27586207
39_2,IL39,92,42,45.65217391
1939_2,IL39,136,72,52.94117647
39_4,IL39,72,18,25
1945_3,IL45,18,14,77.77777778
45_2,IL45,16,5,31.25
45_3,IL45,70,19,27.14285714
1945_4,IL45,37,6,16.21621622
45_4,IL45,34,4,11.76470588
s.ch_1,LA1840,38,0,0
s.ch_2,LA1840,24,0,0
s.ch_3,LA1840,23,0,0
s.ch_4,LA1840,37,0,0
