id,genotype,day,stage,number
LA1840_1,LA1840,6,0_egg,64
LA1840_1,LA1840,6,1_first_instar,0
LA1840_1,LA1840,6,2_second_instar,0
LA1840_1,LA1840,6,3_third_instar,0
LA1840_1,LA1840,6,4_early_fourth_instar,0
LA1840_1,LA1840,6,5_late_fourth_instar,0
LA1840_1,LA1840,6,6_exuviea,0
LA1840_1,LA1840,9,0_egg,0
LA1840_1,LA1840,9,1_first_instar,8
LA1840_1,LA1840,9,2_second_instar,0
LA1840_1,LA1840,9,3_third_instar,0
LA1840_1,LA1840,9,4_early_fourth_instar,0
LA1840_1,LA1840,9,5_late_fourth_instar,0
LA1840_1,LA1840,9,6_exuviea,0
LA1840_1,LA1840,14,0_egg,0
LA1840_1,LA1840,14,1_first_instar,1
LA1840_1,LA1840,14,2_second_instar,23
LA1840_1,LA1840,14,3_third_instar,0
LA1840_1,LA1840,14,4_early_fourth_instar,0
LA1840_1,LA1840,14,5_late_fourth_instar,0
LA1840_1,LA1840,14,6_exuviea,0
LA1840_1,LA1840,16,0_egg,0
LA1840_1,LA1840,16,1_first_instar,6
LA1840_1,LA1840,16,2_second_instar,18
LA1840_1,LA1840,16,3_third_instar,5
LA1840_1,LA1840,16,4_early_fourth_instar,0
LA1840_1,LA1840,16,5_late_fourth_instar,0
LA1840_1,LA1840,16,6_exuviea,0
LA1840_1,LA1840,21,0_egg,0
LA1840_1,LA1840,21,1_first_instar,5
LA1840_1,LA1840,21,2_second_instar,15
LA1840_1,LA1840,21,3_third_instar,10
LA1840_1,LA1840,21,4_early_fourth_instar,0
LA1840_1,LA1840,21,5_late_fourth_instar,0
LA1840_1,LA1840,21,6_exuviea,0
LA1840_1,LA1840,23,0_egg,0
LA1840_1,LA1840,23,1_first_instar,0
LA1840_1,LA1840,23,2_second_instar,7
LA1840_1,LA1840,23,3_third_instar,18
LA1840_1,LA1840,23,4_early_fourth_instar,1
LA1840_1,LA1840,23,5_late_fourth_instar,4
LA1840_1,LA1840,23,6_exuviea,0
LA1840_2,LA1840,6,0_egg,37
LA1840_2,LA1840,6,1_first_instar,0
LA1840_2,LA1840,6,2_second_instar,0
LA1840_2,LA1840,6,3_third_instar,0
LA1840_2,LA1840,6,4_early_fourth_instar,0
LA1840_2,LA1840,6,5_late_fourth_instar,0
LA1840_2,LA1840,6,6_exuviea,0
LA1840_2,LA1840,9,0_egg,0
LA1840_2,LA1840,9,1_first_instar,5
LA1840_2,LA1840,9,2_second_instar,0
