sample_id,genotype,replicate,tec_replicate,alpha_pinene,alpha_phellandrene,alpha_terpinene,d_limonene,b_phellandrene,trans_b_ocimene,linalool,terpinolene,geraniol,beta_caryophyllene,alpha_humulene,cuparene,neridol
20240119_AGQT_LAD_LA1028_1_2,LA1028,1,1,3.23E-04,0.000966432,0.104119905,0.009734482,0.004068513,0.003051075,0.003458151,0,0.079688734,0.012342377,0.034976874,0.001689171,0.385736
20240119_AGQT_LAD_LA1028__1_2,LA1028,1,2,0.076049107,0.127765223,0,0.127143456,0.176871456,0.109309642,0.029793335,0.003487981,0.063933958,0.028466335,0.220753172,0.03228094,0.317054833
20240119_AGQT_LAD_LA1028_2_1,LA1028,2,1,0.064481561,0.039551694,0,0.055696955,0.067679911,0.054372268,0.010978535,0.002313102,0,0.00524828,0.084084904,0.126036395,0.082665452
20240119_AGQT_LAD_LA1028_2_2,LA1028,2,2,0.096616079,0.05076855,0.491422775,0.075679563,0.068910272,0.065159642,0.016024914,5.03E-04,0,0.034231026,0.022313444,0.042686417,0.065317861
20240119_AGQT_LAD_LA1028_3_1,LA1028,3,1,0.888793923,0.008689537,0,0,0,0.470090062,0.205953463,0.09928088,2.815645792,0,7.641590587,0.03957571,15.55973353
20240119_AGQT_LAD_LA1028_3_2,LA1028,3,2,0.043619319,0.237013348,0,0.199089833,0.214412471,0.084292367,0.031651462,0.00595161,0,0.030813662,0,0.062019705,0
20240119_AGQT_LAD_LA1028_4_1,LA1028,4,1,0.151188953,0.010839729,0.886496551,0.076101944,0.093128477,0.073468664,0.024055,0.00259572,0,0.011760037,0.096496523,0.077297925,0
20240119_AGQT_LAD_LA1028_4_2,LA1028,4,2,0.07739933,0.088861563,0,0.041017036,0.064465902,0.052228804,0.03076717,0.005044518,0.330810616,0.029400804,0.041895,0.161925375,0.34126192
20240119_AGQT_LAD_LA1028_5_1,LA1028,5,1,0.106511333,0.060227483,0,0.053256439,0.047766133,0.086385539,0.025343483,0.007817433,0,0.06576865,0.1955159,0,0.285315944
20240119_AGQT_LAD_LA1028_5_2,LA1028,5,2,0.08588794,0.187269401,0,0.129238647,0.125153766,0.13688976,0.031317569,0.019384635,0,0.111377275,0.083145048,0.22166085,0.195339802
20240119_AGQT_LAD_LA1330__1_1,LA1330,1,1,0.12967073,0.024024236,0.592180573,0.046560112,0.044302876,0.002866303,0.02372164,0.001225157,0,0.004567528,0,0.029800404,0.332342663
20240119_AGQT_LAD_LA1330__1_2,LA1330,1,2,0,0,0,0.033895378,0.023772194,0.10468451,0,0,0.307929418,0,0.779097663,0,11.50612115
20240119_AGQT_LAD_LA1330_2_1,LA1330,2,1,0.089023263,0.217379842,0,0.108470105,0.112063,1.14E-03,0.025932298,0,0,0.006532491,0.478078526,0.127426035,0.594594526
20240119_AGQT_LAD_LA1330_2_2,LA1330,2,2,0.210003508,0.611746754,1.495779803,0.35876082,0.368975016,0,0.099023492,0.057786885,0,0,0,0.031004951,0.593289574
20240119_AGQT_LAD_LA1330_3_1,LA1330,3,1,0.129308096,0.054305956,0,0.025093765,0.024931169,0.036368081,0.028259176,0.001249022,0,0,0,0,0
